Prior CS background:,PCSB1_words,PCSB3_words,What gender do you identify with,What race(s) do you identify with?
Never taken CS at Harvard,"Logical, nerdy, office hourse (technicially two words?)",,,Hispanic or Latino
Never taken CS at Harvard,"smart, weird, nerdy",,,Caucasian
Never taken CS at Harvard,"Smart, narrow, ",,,Caucasian
Never taken CS at Harvard,"technology, computational, analytical",,,Asian
Never taken CS at Harvard,"Employable, introverted, un-creative",,,Asian
Never taken CS at Harvard,"Stressed, CS50, rich",,,Caucasian
Never taken CS at Harvard,"hard-working, logical, math-y",,,Asian
Never taken CS at Harvard,"intense, tired, smart",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"Exhausted, stressed, proud",,,"Asian, Caucasian"
Never taken CS at Harvard,,,,-
Never taken CS at Harvard,"analytical, smart, creative",,,Caucasian
Never taken CS at Harvard,"driven, ""analysty"", determined",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"male, reserved, hard-working",,,"Asian, Caucasian"
Never taken CS at Harvard,"logical, thorough, techie",,,Caucasian
Never taken CS at Harvard,creative determined technological,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Dedicated, knowledgeable, team player",,,Asian
Never taken CS at Harvard,Just like Others,,,Asian
Never taken CS at Harvard,"Smart, nerdy, hardcore.",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"job focused, practical",,,Caucasian
Never taken CS at Harvard,"stressed, nerdy (in a good way), glasses",,,Asian
Never taken CS at Harvard,"technical, stressing, dependent",,,Black or African American
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"Logical, hireable, applied",,,Asian
Never taken CS at Harvard,Depends on the concentrator,,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,,,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,Efficient problem solver,,,Hispanic or Latino
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Geeky, intellectual, disorganized",,,Caucasian
Never taken CS at Harvard,"sleepless, detail-oriented, careerist",,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Patient, nuts, careful",,,Caucasian
Never taken CS at Harvard,"Analytical, innovative, tech-y",,,Asian
Never taken CS at Harvard,"tech-savvy, intelligent, focused",,,Caucasian
Never taken CS at Harvard,"tired, hard-working, stressed",,,Caucasian
Never taken CS at Harvard,"analytical, tech-savvy, logical",,,Caucasian
Never taken CS at Harvard,Focused & money oriented,,,Caucasian
Never taken CS at Harvard,"Savy, intelligent, creative ",,,Caucasian
Never taken CS at Harvard,"Intelligent, problem-solving, creative",,,Asian
Never taken CS at Harvard,"busy, stressed, dedicated* (*based on their likely high time devotion to increase-in-skill ration) ",,,"Black or African American, Caucasian"
Never taken CS at Harvard,"determined, advanced, intelligent",,,Hispanic or Latino
Never taken CS at Harvard,"Isolated, geeky, haughty",,,Asian
Never taken CS at Harvard,"Stressed, Smart, Prepared",,,Caucasian
Never taken CS at Harvard,"Logical, Ambitious, Tired",,,"Asian, Caucasian"
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"Hard-working, technical, self-assured",,,Caucasian
Never taken CS at Harvard,"Nerd, not-people person, innovator",,,
Never taken CS at Harvard,"Mathy, career-oriented, technical",,,Caucasian
Never taken CS at Harvard,"Logical, problem solving, technical",,,Asian
Never taken CS at Harvard,"Methodical, logical, focused",,,Caucasian
Never taken CS at Harvard,pulls many all-nighters,,,Black or African American
Never taken CS at Harvard,"hardworking, all-nighter, stressed",,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"smart, cocky, nerdy",,,"Asian, Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"hardworking, smart, tricky",,,Caucasian
Never taken CS at Harvard,"sleep deprived, detail oriented, quantitative",,,Asian
Never taken CS at Harvard,"Dedicated, busy, smart",,,Asian
Never taken CS at Harvard,"Math, Previous tech knowledge, ",,,Asian
Never taken CS at Harvard,"Rational, quirky, systematic",,,Caucasian
Never taken CS at Harvard,"hard-working, studious, tired",,,Asian
Never taken CS at Harvard,"Innovative smart, critical-thinker",,,Caucasian
Never taken CS at Harvard,"Academic, Systematic, Genius",,,Caucasian
Never taken CS at Harvard,"Analytical, focused, pale.",,,Caucasian
Never taken CS at Harvard,"bright, self-interested, collaborative",,,Caucasian
Never taken CS at Harvard,"analytical, technological, scientific",,,Caucasian
Never taken CS at Harvard,Type-A; driven;  studious,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Problem solver, preserver, dedicated ",,,Caucasian
Never taken CS at Harvard,"Tired, nocturnal, cs",,,Caucasian
Never taken CS at Harvard,"Smart, cool, savy",,,Asian
Never taken CS at Harvard,"sleepless, creative, smart",,,"Caucasian, Hispanic or Latino"
Never taken CS at Harvard,"specified, technical, smart ",,,Caucasian
Never taken CS at Harvard,"Intelligent, rational, smaht",,,Caucasian
Never taken CS at Harvard,I don't know ,,,Hispanic or Latino
Never taken CS at Harvard,Quantitative/smart/meticulous,,,Middle Eastern
Never taken CS at Harvard,"Dedicated, enthusiast, unique",,,Caucasian
Never taken CS at Harvard,"Forward-thinking, practical, problem-solving",,,Caucasian
Never taken CS at Harvard,"hardworking, obsessive, focused",,,Caucasian
Never taken CS at Harvard,"Dedicated, interested, sleep-deprived",,,Hispanic or Latino
Never taken CS at Harvard,"important, challenging, fun",,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,Analytical quiet smug,,,Caucasian
Never taken CS at Harvard,,,,Asian
Never taken CS at Harvard,"Innovative, entrepreneurial, quick thinker",,,Caucasian
Never taken CS at Harvard,"focused, meticulous, hard-working",,,Caucasian
Never taken CS at Harvard,"night owl, cult",,,American Indian or Alaskan Native
Never taken CS at Harvard,Codes a lot,,,Caucasian
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Determined, creative, practical",,,Caucasian
Never taken CS at Harvard,"Nerdy, zealous, smart ",,,Asian
Never taken CS at Harvard,intelligent savvy dedicated,,,Asian
Never taken CS at Harvard,"analytical, creative, focused ",,,Hispanic or Latino
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"Difficult, difficult, difficult",,,Caucasian
Never taken CS at Harvard,"Intense, technical, logical",,,Caucasian
Never taken CS at Harvard,"Sleep deprived, smart",,,Caucasian
Never taken CS at Harvard,"Focused, smart, sleep-deprived",,,Caucasian
Never taken CS at Harvard,"Intense, dedicated, smart",,,Caucasian
Never taken CS at Harvard,"Calculating, logical, creative",,,Hispanic or Latino
Never taken CS at Harvard,"Hermit, intelligent, Microsoft",,,Caucasian
Never taken CS at Harvard,driven insane boy,,,Caucasian
Never taken CS at Harvard,"motivated, quantitative, programmer",,,Caucasian
Never taken CS at Harvard,"Smart, savy, hip",,,Caucasian
Never taken CS at Harvard,"quantitative, sleep-deprived, trend-conscious",,,"Asian, Caucasian"
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"focused, no time",,,Caucasian
Never taken CS at Harvard,Batsheva Shore Moriarty,,,Caucasian
Never taken CS at Harvard,,,,"American Indian or Alaskan Native, Caucasian"
Never taken CS at Harvard,"Intelligent, Witty, Odd",,,Caucasian
Never taken CS at Harvard,"Logical, focused, computational",,,Caucasian
Never taken CS at Harvard,,,,"American Indian or Alaskan Native, Black or African American, Caucasian"
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"STEM, innovative, male",,,Hispanic or Latino
Never taken CS at Harvard,"Practical, smart, boring (sorry!)",,,Caucasian
Never taken CS at Harvard,"smart, tech, coding ",,,Caucasian
Never taken CS at Harvard,,,,Black or African American
Never taken CS at Harvard,Way of tomorrow,,,Hispanic or Latino
Never taken CS at Harvard,"Problem-solver, (generally a little endearingly) dorky, smart",,,"Asian, Caucasian"
Never taken CS at Harvard,"math-oriented, analytical, creative",,,Caucasian
Never taken CS at Harvard,"analytical, innovative, socially awkward",,,Asian
Never taken CS at Harvard,,,,Hispanic or Latino
Never taken CS at Harvard,"Innovative, Practical, Analytic",,,Caucasian
Never taken CS at Harvard,"practical, future-oriented, techy",,,Hispanic or Latino
Never taken CS at Harvard,"builder, intense, savvy",,,Asian
Never taken CS at Harvard,"Smart, quantitative, detail oriented",,,Caucasian
Never taken CS at Harvard,innovative creative logic,,,Hispanic or Latino
Never taken CS at Harvard,"Analytical, logical, creative",,,Asian
Never taken CS at Harvard,"Smart, busy, challenged",,,Caucasian
Never taken CS at Harvard,"Stressed, innovative, busy",,,Hispanic or Latino
Never taken CS at Harvard,,,,Caucasian
Never taken CS at Harvard,"focussed, stressed, efficient",,,"Caucasian, Hispanic or Latino"
